128up	FBgn0176208	FBgn0182597	
CG5880	FBgn0165319	FBgn0192765	
CG5883	FBgn0179554	FBgn0184488	
CG5885	FBgn0167088	FBgn0193732	
CG5886	FBgn0165220	FBgn0192688	
CG5888	FBgn0172087	FBgn0193328	
CG5890	FBgn0165221	FBgn0192689	
CG5895	FBgn0180436	FBgn0186271	
CG5897	FBgn0179557	FBgn0184491	
CG5902	FBgn0181398	FBgn0192506	
CG5903	FBgn0180586	FBgn0191782	
CG5906	FBgn0179558	FBgn0189129	
CG5909	FBgn0165324	FBgn0186857	
CG5910	FBgn0177163	FBgn0186559	
CG5913	FBgn0165224	FBgn0192692	
CG5916	FBgn0179151	FBgn0190583	
CG5919	FBgn0170003	FBgn0190913	
CG5924	FBgn0167148	FBgn0193738	
CG5928	FBgn0167401	FBgn0188369	
CG5934	FBgn0165333	FBgn0186806	
CG5937	FBgn0167398	FBgn0188366	
CG5938	FBgn0165334	FBgn0186807	
CG5941	FBgn0167397	FBgn0188365	
CG5945	FBgn0165273	FBgn0195249	
CG5946	FBgn0179569	FBgn0184500	
CG5948	FBgn0165225	FBgn0192694	
CG5955	FBgn0177166	FBgn0186561	
CG5958	FBgn0168491	FBgn0193897	
CG5961	FBgn0180860	FBgn0192030	
CG5964	FBgn0179573	FBgn0184502	
CG5966	FBgn0167396	FBgn0188363	
CG5968	FBgn0172082	FBgn0193325	
CG5969	FBgn0177167	FBgn0186562	
CG5973	FBgn0171379	FBgn0194853	
CG5984	FBgn0165070	FBgn0186755	
CG5986	FBgn0181405	FBgn0192512	
CG5987	FBgn0165069	FBgn0186754	
CG5989	FBgn0179788	FBgn0184698	
CG5991	FBgn0181406	FBgn0192514	
CG6000	FBgn0181407	FBgn0192515	
CG6005	FBgn0178237	FBgn0191618	
CG6006	FBgn0179152	FBgn0190584	
CG6012	FBgn0172061	FBgn0193307	
CG6013	FBgn0178174	FBgn0190773	
CG6015	FBgn0178535	FBgn0190003	
CG6018	FBgn0170836	FBgn0183416	
CG6020	FBgn0177169	FBgn0186564	
CG6023	FBgn0177693	FBgn0187309	
CG6024	FBgn0179579	FBgn0184506	
CG6026	FBgn0178185	FBgn0190774	
CG6028	FBgn0178538	FBgn0190006	
CG6034	FBgn0179177	FBgn0184115	
CG6036	FBgn0165138	FBgn0189681	
CG6040	FBgn0181673	FBgn0190775	
CG6044	FBgn0170823	FBgn0183405	
CG6048	FBgn0167393	FBgn0188360	
CG6051	FBgn0165080	FBgn0189634	
CG6053	FBgn0179584	FBgn0184510	
CG6055	FBgn0171384	FBgn0194854	
CG6059	FBgn0165081	FBgn0189635	
CG6066	FBgn0165082	FBgn0189636	
CG6067	FBgn0167394	FBgn0188361	
CG6071	FBgn0179590	FBgn0189130	
CG6073	FBgn0165144	FBgn0189685	
CG6074	FBgn0165084	FBgn0189638	
CG6083	FBgn0179591	FBgn0184515	
CG6091	FBgn0179595	FBgn0184518	
CG6094	FBgn0173409	FBgn0195088	
CG6106	FBgn0177762	FBgn0188948	
CG6115	FBgn0172059	FBgn0193305	
CG6118	FBgn0180626	FBgn0191823	
CG6123	FBgn0177692	FBgn0187308	
CG6125	FBgn0180627	FBgn0186770	
CG6126	FBgn0180583	FBgn0191779	
CG6136	FBgn0180629	FBgn0191825	
CG6140	FBgn0179616	FBgn0184531	
CG6142	FBgn0165260	FBgn0192713	
CG6144	FBgn0173398	FBgn0195087	
CG6149	FBgn0179618	FBgn0184533	
CG6153	FBgn0181742	FBgn0195218	
CG6154	FBgn0165266	FBgn0192717	
CG6163	FBgn0179621	FBgn0184536	
CG6168	FBgn0179622	FBgn0045604	
CG6171	FBgn0180633	FBgn0191829	
CG6175	FBgn0179625	FBgn0189133	
CG6180	FBgn0164999	FBgn0195221	
CG6182	FBgn0181420	FBgn0192526	
CG6184	FBgn0181747	FBgn0191584	
CG6188	FBgn0178921	FBgn0190367	
CG6191	FBgn0175145	FBgn0197030	
CG6194	FBgn0180636	FBgn0191831	
CG6195	FBgn0181748	FBgn0191586	
CG6196	FBgn0180637	FBgn0191832	
CG6201	FBgn0166101	FBgn0193603	
CG6204	FBgn0181425	FBgn0192531	
CG6208	FBgn0181041	FBgn0192200	
CG6209	FBgn0175141	FBgn0197026	
CG6216	FBgn0179631	FBgn0184543	
CG6218	FBgn0180639	FBgn0191834	
CG6220	FBgn0175140	FBgn0197025	
CG6227	FBgn0175062	FBgn0188771	
CG6230	FBgn0166097	FBgn0193602	
CG6232	FBgn0173356	FBgn0195083	
CG6234	FBgn0178918	FBgn0190365	
CG6236	FBgn0180641	FBgn0191836	
CG6241	FBgn0181037	FBgn0192197	
CG6244	FBgn0174194	FBgn0186252	
CG6254	FBgn0181036	FBgn0192196	
CG6255	FBgn0181755	FBgn0191591	
CG6259	FBgn0179184	FBgn0184125	
CG6262	FBgn0176572	FBgn0182942	
CG6272	FBgn0179639	FBgn0184553	
CG6276	FBgn0180642	FBgn0191837	
CG6279	FBgn0179640	FBgn0184554	
CG6280	FBgn0176366	FBgn0182741	
CG6282	FBgn0179933	FBgn0185801	
CG6283	FBgn0165094	FBgn0189644	
CG6287	FBgn0166067	FBgn0083442	
CG6290	FBgn0177768	FBgn0188952	
CG6293	FBgn0181030	FBgn0192190	
CG6294	FBgn0174466	FBgn0196138	
CG6295	FBgn0165099	FBgn0189647	
CG6296	FBgn0165101	FBgn0189648	
CG6299	FBgn0174467	FBgn0196139	
CG6304	FBgn0172054	FBgn0193301	
CG6308	FBgn0174474	FBgn0196140	
CG6310	FBgn0179643	FBgn0184557	
CG6321	FBgn0179647	FBgn0184560	
CG6324	FBgn0174472	FBgn0196141	
CG6325	FBgn0181026	FBgn0192188	
CG6329	FBgn0176372	FBgn0182746	
CG6330	FBgn0165106	FBgn0189652	
CG6332	FBgn0181245	FBgn0192371	
CG6333	FBgn0179192	FBgn0184133	
CG6337	FBgn0175137	FBgn0197022	
CG6340	FBgn0174475	FBgn0188776	
CG6345	FBgn0181024	FBgn0192186	
CG6347	FBgn0176373	FBgn0182747	
CG6353	FBgn0165944	FBgn0191452	
CG6356	FBgn0181436	FBgn0192539	
CG6357	FBgn0176374	FBgn0182748	
CG6362	FBgn0174834	FBgn0196734	
CG6364	FBgn0181437	FBgn0192540	
CG6379	FBgn0167642	FBgn0187936	
CG6380	FBgn0172047	FBgn0193295	
CG6385	FBgn0174838	FBgn0196738	
CG6388	FBgn0181669	FBgn0195207	
CG6398	FBgn0177725	FBgn0188924	
CG6401	FBgn0174840	FBgn0196740	
CG6403	FBgn0165117	FBgn0189662	
CG6404	FBgn0179658	FBgn0184571	
CG6405	FBgn0181667	FBgn0195206	
CG6406	FBgn0174841	FBgn0196741	
CG6412	FBgn0172031	FBgn0193280	
CG6415	FBgn0173607	FBgn0195100	
CG6418	FBgn0179660	FBgn0189135	
CG6420	FBgn0165118	FBgn0189663	
CG6424	FBgn0174843	FBgn0196743	
CG6425	FBgn0165121	FBgn0189664	
CG6429	FBgn0176613	FBgn0182981	
CG6431	FBgn0173618	FBgn0195101	
CG6432	FBgn0181442	FBgn0192545	
CG6435	FBgn0176615	FBgn0182982	
CG6439	FBgn0178542	FBgn0190009	
CG6441	FBgn0171388	FBgn0194855	
CG6453	FBgn0172034	FBgn0193283	
CG6454	FBgn0181444	FBgn0192547	
CG6455	FBgn0178541	FBgn0190008	
CG6462	FBgn0169661	FBgn0185617	
CG6463	FBgn0179663	FBgn0184577	
CG6470	FBgn0177672	FBgn0187291	
CG6472	FBgn0176616	FBgn0182983	
CG6479	FBgn0179207	FBgn0184149	
CG6480	FBgn0177102	FBgn0183939	
CG6484	FBgn0174854	FBgn0196756	
CG6485	FBgn0179210	FBgn0184152	
CG6488	FBgn0166009	FBgn0193582	
CG6490	FBgn0165133	FBgn0189676	
CG6495	FBgn0173642	FBgn0063997	
CG6497	FBgn0179211	FBgn0184153	
CG6498	FBgn0180397	FBgn0186235	
CG6499	FBgn0180649	FBgn0191843	
CG6503	FBgn0165136	FBgn0189679	
CG6508	FBgn0173646	FBgn0195108	
CG6509	FBgn0166005	FBgn0193581	
CG6512	FBgn0179212	FBgn0184154	
CG6520	FBgn0174865	FBgn0196768	
CG6523	FBgn0165371	FBgn0195261	
CG6540	FBgn0177777	FBgn0196173	
CG6543	FBgn0175135	FBgn0197020	
CG6550	FBgn0174871	FBgn0196775	
CG6555	FBgn0165979	FBgn0193574	
CG6565	FBgn0165402	FBgn0195264	
CG6567	FBgn0181000	FBgn0192164	
CG6568	FBgn0174875	FBgn0196777	
CG6569	FBgn0178552	FBgn0190019	
CG6574	FBgn0180998	FBgn0192162	
CG6576	FBgn0179950	FBgn0185815	
CG6583	FBgn0181139	FBgn0193536	
CG6592	FBgn0169666	FBgn0185622	
CG6597	FBgn0177139	FBgn0186543	
CG6602	FBgn0169669	FBgn0185626	
CG6607	FBgn0181461	FBgn0186852	
CG6610	FBgn0169670	FBgn0185627	
CG6613	FBgn0170796	FBgn0183383	
CG6614	FBgn0165968	FBgn0193572	
CG6617	FBgn0177665	FBgn0195808	
CG6619	FBgn0169673	FBgn0185629	
CG6621	FBgn0180990	FBgn0192155	
CG6628	FBgn0179681	FBgn0184595	
CG6629	FBgn0180989	FBgn0192153	
CG6638	FBgn0179790	FBgn0184701	
CG6650	FBgn0180304	FBgn0186155	
CG6654	FBgn0180655	FBgn0191849	
CG6656	FBgn0181234	FBgn0192363	
CG6659	FBgn0177663	FBgn0195806	
CG6660	FBgn0181324	FBgn0192442	
CG6661	FBgn0180305	FBgn0186156	
CG6664	FBgn0179219	FBgn0184164	
CG6665	FBgn0176622	FBgn0182988	
CG6672	FBgn0180973	FBgn0192144	
CG6674	FBgn0179689	FBgn0184604	
CG6675	FBgn0171073	FBgn0195693	
CG6678	FBgn0181238	FBgn0192367	
CG6683	FBgn0179795	FBgn0184705	
CG6685	FBgn0179690	FBgn0184605	
CG6686	FBgn0181337	FBgn0193557	
CG6688	FBgn0181331	FBgn0192449	
CG6689	FBgn0180971	FBgn0192142	
CG6690	FBgn0181240	FBgn0261147	
CG6693	FBgn0180970	FBgn0192141	
CG6695	FBgn0181469	FBgn0192570	
CG6696	FBgn0177662	FBgn0195803	
CG6700	FBgn0166345	FBgn0193631	
CG6701	FBgn0175122	FBgn0197008	
CG6707	FBgn0179691	FBgn0184606	
CG6709	FBgn0179693	FBgn0184608	
CG6712	FBgn0181182	FBgn0193540	
CG6724	FBgn0166389	FBgn0193635	
CG6729	FBgn0166422	FBgn0193638	
CG6734	FBgn0181293	FBgn0193553	
CG6739	FBgn0171417	FBgn0194858	
CG6744	FBgn0180953	FBgn0192125	
CG6745	FBgn0179919	FBgn0185789	
CG6746	FBgn0181304	FBgn0193554	
CG6749	FBgn0179707	FBgn0184622	
CG6750	FBgn0166432	FBgn0193641	
CG6752	FBgn0180659	FBgn0191852	
CG6753	FBgn0180850	FBgn0192023	
CG6761	FBgn0179711	FBgn0184626	
CG6762	FBgn0177730	FBgn0188929	
CG6763	FBgn0181351	FBgn0192466	
CG6765	FBgn0179920	FBgn0185790	
CG6766	FBgn0181271	FBgn0193551	
CG6767	FBgn0179712	FBgn0184627	
CG6769	FBgn0177731	FBgn0188930	
CG6770	FBgn0181248	FBgn0193548	
CG6785	FBgn0181259	FBgn0193549	
CG6791	FBgn0180946	FBgn0192120	
CG6793	FBgn0180181	FBgn0186037	
CG6796	FBgn0176625	FBgn0182990	
CG6800	FBgn0181228	FBgn0192357	
CG6808	FBgn0180944	FBgn0192118	
CG6812	FBgn0169929	FBgn0186459	
CG6833	FBgn0180307	FBgn0186158	
CG6836	FBgn0169926	FBgn0186457	
CG6839	FBgn0169925	FBgn0186456	
CG6841	FBgn0169924	FBgn0186455	
CG6843	FBgn0169923	FBgn0186454	
CG6845	FBgn0169235	FBgn0185256	
CG6847	FBgn0177736	FBgn0188935	
CG6852	FBgn0169918	FBgn0186449	
CG6865	FBgn0169914	FBgn0186445	
CG6867	FBgn0177738	FBgn0188937	
CG6870	FBgn0172024	FBgn0193275	
CG6878	FBgn0180372	FBgn0186212	
CG6885	FBgn0169910	FBgn0186440	
CG6888	FBgn0180373	FBgn0186213	
CG6891	FBgn0177782	FBgn0188960	
CG6893	FBgn0169909	FBgn0186439	
CG6901	FBgn0170067	FBgn0190596	
CG6903	FBgn0167313	FBgn0188303	
CG6904	FBgn0180661	FBgn0191854	
CG6905	FBgn0169205	FBgn0196994	
CG6907	FBgn0173459	FBgn0194733	
CG6910	FBgn0180193	FBgn0186050	
CG6914	FBgn0177324	FBgn0186707	
CG6927	FBgn0167310	FBgn0188301	
CG6928	FBgn0180180	FBgn0186036	
CG6931	FBgn0180178	FBgn0186035	
CG6933	FBgn0177108	FBgn0183944	
CG6937	FBgn0181299	FBgn0192421	
CG6938	FBgn0180177	FBgn0186034	
CG6945	FBgn0179369	FBgn0184305	
CG6950	FBgn0180921	FBgn0192095	
CG6951	FBgn0177136	FBgn0186537	
CG6954	FBgn0181308	FBgn0192428	
CG6959	FBgn0180920	FBgn0192094	
CG6962	FBgn0180918	FBgn0192093	
CG6966	FBgn0180665	FBgn0191858	
CG6967	FBgn0176633	FBgn0182997	
CG6971	FBgn0180916	FBgn0192090	
CG6972	FBgn0181314	FBgn0196194	
CG6974	FBgn0180666	FBgn0191859	
CG6980	FBgn0181481	FBgn0192583	
CG6982	FBgn0181317	FBgn0192435	
CG6983	FBgn0179799	FBgn0184712	
CG6984	FBgn0176635	FBgn0182999	
CG6985	FBgn0181318	FBgn0192436	
CG6996	FBgn0177129	FBgn0186531	
CG7006	FBgn0181487	FBgn0192589	
CG7011	FBgn0179360	FBgn0184296	
CG7017	FBgn0177109	FBgn0183946	
CG7023	FBgn0181320	FBgn0192438	
CG7024	FBgn0167299	FBgn0188292	
CG7025	FBgn0168389	FBgn0193883	
CG7028	FBgn0169220	FBgn0185244	
CG7029	FBgn0181321	FBgn0192439	
CG7031	FBgn0181322	FBgn0192440	
CG7033	FBgn0168648	FBgn0196093	
CG7039	FBgn0168649	FBgn0196094	
CG7044	FBgn0170022	FBgn0191491	
CG7048	FBgn0181292	FBgn0192414	
CG7049	FBgn0169226	FBgn0185249	
CG7054	FBgn0181289	FBgn0192409	
CG7056	FBgn0170026	FBgn0191493	
CG7058	FBgn0177784	FBgn0188964	
CG7059	FBgn0181280	FBgn0192401	
CG7065	FBgn0168652	FBgn0188510	
CG7069	FBgn0181274	FBgn0192397	
CG7071	FBgn0181272	FBgn0192395	
CG7079	FBgn0170031	FBgn0191497	
CG7080	FBgn0181265	FBgn0192389	
CG7083	FBgn0179907	FBgn0185775	
CG7084	FBgn0181264	FBgn0192388	
CG7091	FBgn0178933	FBgn0190378	
CG7099	FBgn0165436	FBgn0195266	
CG7101	FBgn0177788	FBgn0188966	
CG7102	FBgn0168198	FBgn0193861	
CG7110	FBgn0165446	FBgn0195267	
CG7115	FBgn0171511	FBgn0194870	
CG7126	FBgn0170224	FBgn0191660	
CG7130	FBgn0176970	FBgn0183813	
CG7131	FBgn0170227	FBgn0191663	
CG7133	FBgn0176971	FBgn0183814	
CG7135	FBgn0177750	FBgn0196012	
CG7137	FBgn0176815	FBgn0183184	
CG7139	FBgn0176972	FBgn0183815	
CG7140	FBgn0176973	FBgn0183816	
CG7142	FBgn0170230	FBgn0191666	
CG7146	FBgn0170231	FBgn0191667	
CG7149	FBgn0168261	FBgn0193871	
CG7154	FBgn0171479	FBgn0194868	
CG7156	FBgn0170235	FBgn0191670	
CG7158	FBgn0176990	FBgn0183835	
CG7164	FBgn0171477	FBgn0194867	
CG7166	FBgn0176994	FBgn0183839	
CG7168	FBgn0170236	FBgn0191671	
CG7172	FBgn0176997	FBgn0183843	
CG7173	FBgn0176999	FBgn0183845	
CG7175	FBgn0170237	FBgn0191672	
CG7179	FBgn0168281	FBgn0193872	
CG7182	FBgn0179808	FBgn0184722	
CG7183	FBgn0170238	FBgn0191674	
CG7185	FBgn0179810	FBgn0184723	
CG7191	FBgn0171465	FBgn0194865	
CG7192	FBgn0177706	FBgn0195818	
CG7196	FBgn0171462	FBgn0194864	
CG7197	FBgn0179814	FBgn0085149	
CG7200	FBgn0172010	FBgn0193261	
CG7201	FBgn0179815	FBgn0184727	
CG7202	FBgn0177008	FBgn0183852	
CG7203	FBgn0168292	FBgn0193873	
CG7206	FBgn0177707	FBgn0187315	
CG7208	FBgn0170244	FBgn0191678	
CG7211	FBgn0171458	FBgn0194863	
CG7213	FBgn0179818	FBgn0184730	
CG7214	FBgn0168303	FBgn0193874	
CG7215	FBgn0170246	FBgn0191680	
CG7220	FBgn0176115	FBgn0182517	
CG7222	FBgn0176120	FBgn0182521	
CG7224	FBgn0171567	FBgn0194875	
CG7227	FBgn0168166	FBgn0193855	
CG7229	FBgn0176818	FBgn0183187	
CG7231	FBgn0171556	FBgn0194874	
CG7236	FBgn0173473	FBgn0194743	
CG7239	FBgn0173479	FBgn0194749	
CG7248	FBgn0180172	FBgn0186029	
CG7251	FBgn0172917	FBgn0194041	
CG7252	FBgn0180170	FBgn0186026	
CG7255	FBgn0180379	FBgn0186217	
CG7261	FBgn0178583	FBgn0194523	
CG7262	FBgn0180673	FBgn0191866	
CG7264	FBgn0180162	FBgn0186019	
CG7265	FBgn0180674	FBgn0191867	
CG7267	FBgn0168616	FBgn0187725	
CG7272	FBgn0180386	FBgn0186225	
CG7275	FBgn0180385	FBgn0186224	
CG7277	FBgn0172925	FBgn0194046	
CG7288	FBgn0177794	FBgn0196179	
CG7290	FBgn0177110	FBgn0183948	
CG7294	FBgn0166486	FBgn0193646	
CG7295	FBgn0171749	FBgn0194508	
CG7296	FBgn0166497	FBgn0193647	
CG7298	FBgn0177112	FBgn0183949	
CG7299	FBgn0166508	FBgn0193648	
CG7300	FBgn0166464	FBgn0193644	
CG7304	FBgn0180410	FBgn0186248	
CG7309	FBgn0166237	FBgn0193620	
CG7311	FBgn0165637	FBgn0195283	
CG7322	FBgn0177650	FBgn0195802	
CG7324	FBgn0177017	FBgn0183860	
CG7326	FBgn0177649	FBgn0187277	
CG7328	FBgn0177117	FBgn0183954	
CG7329	FBgn0166519	FBgn0193649	
CG7330	FBgn0169889	FBgn0186423	
CG7332	FBgn0177800	FBgn0188971	
CG7335	FBgn0177118	FBgn0183955	
CG7337	FBgn0171750	FBgn0194509	
CG7338	FBgn0177231	FBgn0186624	
CG7339	FBgn0180148	FBgn0186004	
CG7341	FBgn0169887	FBgn0186421	
CG7342	FBgn0181700	FBgn0190801	
CG7349	FBgn0177801	FBgn0188972	
CG7352	FBgn0178595	FBgn0190062	
CG7357	FBgn0170253	FBgn0191685	
CG7365	FBgn0177120	FBgn0183958	
CG7366	FBgn0179820	FBgn0184731	
CG7367	FBgn0168137	FBgn0193849	
CG7368	FBgn0180144	FBgn0186000	
CG7369	FBgn0177339	FBgn0186722	
CG7371	FBgn0172926	FBgn0194047	
CG7372	FBgn0180405	FBgn0186241	
CG7376	FBgn0169689	FBgn0185641	
CG7378	FBgn0177802	FBgn0188973	
CG7379	FBgn0170258	FBgn0191690	
CG7381	FBgn0180827	FBgn0192001	
CG7382	FBgn0172927	FBgn0194048	
CG7384	FBgn0166562	FBgn0193655	
CG7386	FBgn0169691	FBgn0185643	
CG7387	FBgn0179822	FBgn0184733	
CG7394	FBgn0180141	FBgn0185997	
CG7402	FBgn0180582	FBgn0186409	
CG7407	FBgn0177281	FBgn0186675	
CG7408	FBgn0180581	FBgn0186408	
CG7409	FBgn0179861	FBgn0185728	
CG7414	FBgn0177282	FBgn0186677	
CG7420	FBgn0171520	FBgn0194301	
CG7427	FBgn0180396	FBgn0186234	
CG7429	FBgn0171611	FBgn0194879	
CG7430	FBgn0180578	FBgn0186405	
CG7432	FBgn0181707	FBgn0190810	
CG7433	FBgn0169671	FBgn0183969	
CG7441	FBgn0180579	FBgn0083441	
CG7442	FBgn0177287	FBgn0186681	
CG7453	FBgn0177814	FBgn0188980	
CG7456	FBgn0166590	FBgn0193658	
CG7458	FBgn0177291	FBgn0186684	
CG7461	FBgn0176824	FBgn0183193	
CG7466	FBgn0171622	FBgn0194880	
CG7470	FBgn0177293	FBgn0186686	
CG7484	FBgn0180570	FBgn0189196	
CG7488	FBgn0178936	FBgn0190381	
CG7492	FBgn0168671	FBgn0184763	
CG7497	FBgn0180568	FBgn0186396	
CG7504	FBgn0179830	FBgn0184740	
CG7506	FBgn0168672	FBgn0184764	
CG7509	FBgn0168879	FBgn0184954	
CG7510	FBgn0180567	FBgn0186395	
CG7512	FBgn0180140	FBgn0189185	
CG7514	FBgn0168886	FBgn0184960	
CG7519	FBgn0177243	FBgn0186636	
CG7530	FBgn0180686	FBgn0191876	
CG7536	FBgn0177708	FBgn0195819	
CG7542	FBgn0180566	FBgn0186394	
CG7544	FBgn0176471	FBgn0182856	
CG7546	FBgn0169773	FBgn0185718	
CG7548	FBgn0168683	FBgn0184773	
CG7550	FBgn0179833	FBgn0184743	
CG7551	FBgn0180132	FBgn0185991	
CG7556	FBgn0177633	FBgn0187264	
CG7557	FBgn0180131	FBgn0185990	
CG7560	FBgn0180130	FBgn0185989	
CG7564	FBgn0180564	FBgn0186390	
CG7565	FBgn0179835	FBgn0184745	
CG7567	FBgn0167176	FBgn0189280	
CG7568	FBgn0167173	FBgn0189269	
CG7573	FBgn0180126	FBgn0185985	
CG7579	FBgn0179332	FBgn0184270	
CG7580	FBgn0180559	FBgn0186386	
CG7582	FBgn0167168	FBgn0189240	
CG7587	FBgn0170164	FBgn0190674	
CG7589	FBgn0180558	FBgn0186385	
CG7593	FBgn0167164	FBgn0189232	
CG7598	FBgn0167750	FBgn0192892	
CG7600	FBgn0180122	FBgn0185981	
CG7601	FBgn0167163	FBgn0189227	
CG7603	FBgn0180557	FBgn0186384	
CG7607	FBgn0180120	FBgn0185979	
CG7609	FBgn0167162	FBgn0189225	
CG7611	FBgn0177247	FBgn0186640	
CG7616	FBgn0180118	FBgn0185977	
CG7630	FBgn0180553	FBgn0186382	
CG7631	FBgn0171022	FBgn0195375	
CG7632	FBgn0177226	FBgn0186622	
CG7634	FBgn0177254	FBgn0186645	
CG7637	FBgn0175376	FBgn0197234	
CG7638	FBgn0180111	FBgn0185970	
CG7639	FBgn0175045	FBgn0196926	
CG7646	FBgn0174631	FBgn0186519	
CG7650	FBgn0179341	FBgn0184278	
CG7653	FBgn0172833	FBgn0193350	
CG7655	FBgn0170177	FBgn0190687	
CG7656	FBgn0179342	FBgn0184279	
CG7668	FBgn0174644	FBgn0186522	
CG7669	FBgn0172771	FBgn0190731	
CG7675	FBgn0173612	FBgn0191652	
CG7685	FBgn0172776	FBgn0190736	
CG7686	FBgn0175370	FBgn0197227	
CG7691	FBgn0172777	FBgn0190737	
CG7692	FBgn0180550	FBgn0186380	
CG7694	FBgn0172780	FBgn0190739	
CG7695	FBgn0173601	FBgn0191641	
CG7702	FBgn0172788	FBgn0190747	
CG7705	FBgn0173596	FBgn0191635	
CG7706	FBgn0172791	FBgn0190748	
CG7707	FBgn0180546	FBgn0186373	
CG7708	FBgn0172792	FBgn0190749	
CG7712	FBgn0175365	FBgn0186926	
CG7713	FBgn0170183	FBgn0190692	
CG7716	FBgn0168674	FBgn0184766	
CG7718	FBgn0173590	FBgn0191632	
CG7720	FBgn0173588	FBgn0191630	
CG7724	FBgn0180545	FBgn0186371	
CG7728	FBgn0180537	FBgn0186363	
CG7730	FBgn0180539	FBgn0186365	
CG7737	FBgn0176140	FBgn0182537	
CG7739	FBgn0179344	FBgn0184281	
CG7741	FBgn0176157	FBgn0182551	
CG7742	FBgn0172940	FBgn0194058	
CG7744	FBgn0176839	FBgn0183205	
CG7745	FBgn0176158	FBgn0182552	
CG7747	FBgn0174949	FBgn0186894	
CG7755	FBgn0174952	FBgn0196836	
CG7759	FBgn0176169	FBgn0182559	
CG7763	FBgn0176170	FBgn0182560	
CG7770	FBgn0174587	FBgn0186511	
CG7772	FBgn0177715	FBgn0187319	
CG7777	FBgn0176172	FBgn0182561	
CG7781	FBgn0167976	FBgn0193823	
CG7785	FBgn0170192	FBgn0190700	
CG7786	FBgn0174960	FBgn0186896	
CG7787	FBgn0171803	FBgn0194901	
CG7789	FBgn0167762	FBgn0192902	
CG7791	FBgn0171414	FBgn0182122	
CG7794	FBgn0170193	FBgn0190701	
CG7798	FBgn0174963	FBgn0196844	
CG7804	FBgn0179356	FBgn0184292	
CG7806	FBgn0171796	FBgn0194900	
CG7810	FBgn0167998	FBgn0193825	
CG7813	FBgn0174936	FBgn0196820	
CG7816	FBgn0167146	FBgn0189150	
CG7818	FBgn0171793	FBgn0194899	
CG7824	FBgn0167150	FBgn0189173	
CG7829	FBgn0167154	FBgn0189194	
CG7834	FBgn0167157	FBgn0189209	
CG7837	FBgn0167158	FBgn0189215	
CG7839	FBgn0180108	FBgn0185967	
CG7840	FBgn0171789	FBgn0194898	
CG7841	FBgn0179353	FBgn0184288	
CG7845	FBgn0168501	FBgn0182109	
CG7848	FBgn0174938	FBgn0196822	
CG7849	FBgn0171449	FBgn0182167	
CG7852	FBgn0169342	FBgn0185332	
CG7856	FBgn0171400	FBgn0182110	
CG7872	FBgn0177425	FBgn0188784	
CG7879	FBgn0169129	FBgn0185177	
CG7881	FBgn0171410	FBgn0182118	
CG7882	FBgn0171444	FBgn0182161	
CG7884	FBgn0177821	FBgn0188990	
CG7886	FBgn0180694	FBgn0191881	
CG7888	FBgn0180102	FBgn0185960	
CG7889	FBgn0177822	FBgn0188991	
CG7896	FBgn0167780	FBgn0192922	
CG7900	FBgn0178567	FBgn0190035	
CG7903	FBgn0167135	FBgn0018327	
CG7906	FBgn0180320	FBgn0186170	
CG7907	FBgn0165372	FBgn0190923	
CG7910	FBgn0178566	FBgn0190034	
CG7911	FBgn0167133	FBgn0189029	
CG7912	FBgn0167132	FBgn0189018	
CG7914	FBgn0177632	FBgn0187263	
CG7916	FBgn0170229	FBgn0195298	
CG7918	FBgn0178565	FBgn0190032	
CG7920	FBgn0167131	FBgn0068673	
CG7922	FBgn0165375	FBgn0190927	
CG7924	FBgn0180319	FBgn0186169	
CG7927	FBgn0179880	FBgn0185746	
CG7928	FBgn0167127	FBgn0188986	
CG7943	FBgn0167791	FBgn0192929	
CG7945	FBgn0179349	FBgn0184285	
CG7946	FBgn0167792	FBgn0192930	
CG7949	FBgn0180091	FBgn0185948	
CG7950	FBgn0167796	FBgn0192933	
CG7953	FBgn0170240	FBgn0195299	
CG7956	FBgn0165378	FBgn0190931	
CG7963	FBgn0178598	FBgn0190065	
CG7966	FBgn0180818	FBgn0191992	
CG7967	FBgn0169116	FBgn0185168	
CG7968	FBgn0170250	FBgn0195300	
CG7970	FBgn0169359	FBgn0185345	
CG7974	FBgn0169360	FBgn0185347	
CG7979	FBgn0179885	FBgn0185751	
CG7985	FBgn0170205	FBgn0190718	
CG7987	FBgn0180696	FBgn0191883	
CG7988	FBgn0170208	FBgn0190720	
CG7990	FBgn0177631	FBgn0187262	
CG7991	FBgn0169362	FBgn0185349	
CG7992	FBgn0177625	FBgn0187254	
CG7993	FBgn0170209	FBgn0190721	
CG7997	FBgn0174945	FBgn0196830	
CG8001	FBgn0169366	FBgn0185353	
CG8003	FBgn0180081	FBgn0185939	
CG8004	FBgn0170325	FBgn0183974	
CG8005	FBgn0179888	FBgn0185754	
CG8006	FBgn0179891	FBgn0185756	
CG8008	FBgn0175508	FBgn0181874	
CG8010	FBgn0177622	FBgn0187253	
CG8012	FBgn0179892	FBgn0185757	
CG8021	FBgn0178610	FBgn0190078	
CG8026	FBgn0175500	FBgn0181867	
CG8027	FBgn0175499	FBgn0181866	
CG8028	FBgn0177619	FBgn0195796	
CG8031	FBgn0180822	FBgn0191996	
CG8032	FBgn0178612	FBgn0190080	
CG8036	FBgn0178613	FBgn0190082	
